ID,step,angle,ID_old,time,lon.x,lat.x,x,y,state_m2_v,state_m2_w,state_m3_v,state_m3_w,datetimelo,date,lat.y,lon.y,dawn,sunrise,sunset,dusk,diel,habitat
A69-1602-60023-618,"0.121441793031713","1.83850543222667",A69-1602-60023,2023-03-27 13:50:37,-88.296339414886489,30.387851350717799,375454.883824363991152,3362476.485321519896388,2,1,1,1,2023-03-27 08:50:37,2023-03-27,30.399999999999999,-88.250000000000000,2023-03-27 06:25:44,2023-03-27 06:49:47,2023-03-27 19:09:29,2023-03-27 19:33:32,day,em_veg
A69-1602-60023-618,"2.8789673812287","-2.46221913076197",A69-1602-60023,2023-03-27 13:53:37,-88.296338391334302,30.387851993461801,375454.982985267997719,3362476.555430179927498,2,1,1,1,2023-03-27 08:53:37,2023-03-27,30.399999999999999,-88.250000000000000,2023-03-27 06:25:44,2023-03-27 06:49:47,2023-03-27 19:09:29,2023-03-27 19:33:32,day,em_veg
A69-1602-60023-618,"1.66769102179746","-0.357901529709495",A69-1602-60023,2023-03-27 13:56:37,-88.296346225663399,30.387826922110499,375454.198435925005469,3362473.785423770081252,2,1,1,1,2023-03-27 08:56:37,2023-03-27,30.399999999999999,-88.250000000000000,2023-03-27 06:25:44,2023-03-27 06:49:47,2023-03-27 19:09:29,2023-03-27 19:33:32,day,em_veg
A69-1602-60023-618,"0.818961459606289","2.26581460873659",A69-1602-60023,2023-03-27 13:59:37,-88.296356344612704,30.387814697607499,375453.210672501998488,3362472.441728579811752,2,1,1,1,2023-03-27 08:59:37,2023-03-27,30.399999999999999,-88.250000000000000,2023-03-27 06:25:44,2023-03-27 06:49:47,2023-03-27 19:09:29,2023-03-27 19:33:32,day,em_veg
A69-1602-60023-618,"2.26573374644484","0.720727590715893",A69-1602-60023,2023-03-27 14:02:37,-88.296347844081097,30.387815233293800,375454.028104997007176,3362472.491748460102826,2,1,1,1,2023-03-27 09:02:37,2023-03-27,30.399999999999999,-88.250000000000000,2023-03-27 06:25:44,2023-03-27 06:49:47,2023-03-27 19:09:29,2023-03-27 19:33:32,day,em_veg
A69-1602-60023-618,"0.306347868844239","-2.23211323236663",A69-1602-60023,2023-03-27 14:05:37,-88.296331302897997,30.387829801756698,375455.635906598996371,3362474.088158000260592,2,1,1,1,2023-03-27 09:05:37,2023-03-27,30.399999999999999,-88.250000000000000,2023-03-27 06:25:44,2023-03-27 06:49:47,2023-03-27 19:09:29,2023-03-27 19:33:32,day,em_veg
A69-1602-60023-618,"1.80938171920451","-1.45863125373217",A69-1602-60023,2023-03-27 14:08:37,-88.296330883367503,30.387827061813901,375455.672740133013576,3362473.784032519906759,2,1,1,1,2023-03-27 09:08:37,2023-03-27,30.399999999999999,-88.250000000000000,2023-03-27 06:25:44,2023-03-27 06:49:47,2023-03-27 19:09:29,2023-03-27 19:33:32,day,em_veg
A69-1602-60023-618,NA,NA,A69-1602-60023,2023-03-27 14:11:37,-88.296349155275081,30.387823115772800,375453.912122369976714,3362473.366794819943607,2,1,1,1,2023-03-27 09:11:37,2023-03-27,30.399999999999999,-88.250000000000000,2023-03-27 06:25:44,2023-03-27 06:49:47,2023-03-27 19:09:29,2023-03-27 19:33:32,day,em_veg
A69-1602-60023-755,"3.28704474072533",NA,A69-1602-60023,2023-04-09 19:07:54,-88.296554662966102,30.387683574319500,375433.989357826998457,3362458.127658000215888,2,1,1,1,2023-04-09 14:07:54,2023-04-09,30.399999999999999,-88.250000000000000,2023-04-09 06:09:37,2023-04-09 06:34:01,2023-04-09 19:17:25,2023-04-09 19:41:49,day,em_veg
A69-1602-60023-755,"0.294552024576926","-2.89361423992406",A69-1602-60023,2023-04-09 19:10:54,-88.296528211444596,30.387664768785999,375436.507030181004666,3362456.014369320124388,2,1,1,1,2023-04-09 14:10:54,2023-04-09,30.399999999999999,-88.250000000000000,2023-04-09 06:09:37,2023-04-09 06:34:01,2023-04-09 19:17:25,2023-04-09 19:41:49,day,em_veg
