"","ID","ID_old","time","x","y","lon","lat"
"18823","A69-1604-28068-11733","A69-1604-28068","2023-04-19 21:40:01",375440.211582131,3362376.99607868,-88.2964802469605,30.3869522674654
"18824","A69-1604-28068-11733","A69-1604-28068","2023-04-19 21:43:01",375437.196802356,3362377.43699868,-88.2965116720704,30.3869559339663
"18825","A69-1604-28068-11733","A69-1604-28068","2023-04-19 21:46:01",375437.314577373,3362377.3857131,-88.2965104403631,30.3869554834443
"18826","A69-1604-28068-11733","A69-1604-28068","2023-04-19 21:49:01",375437.463606793,3362378.01526304,-88.2965089645246,30.3869611784845
"18827","A69-1604-28068-11733","A69-1604-28068","2023-04-19 21:52:01",375433.799701349,3362379.52818148,-88.296547272324,30.3869744492441
"18828","A69-1604-28068-11924","A69-1604-28068","2023-06-10 06:49:55",375411.721634379,3362379.64447978,-88.2967770363168,30.3869732178936
"18829","A69-1604-28068-11924","A69-1604-28068","2023-06-10 06:52:55",375418.77207559,3362376.2250759,-88.2967032601587,30.386943097181
"18830","A69-1604-28068-11924","A69-1604-28068","2023-06-10 06:55:55",375419.889113971,3362378.86071528,-88.296691950006,30.3869669906709
"18831","A69-1604-28068-11924","A69-1604-28068","2023-06-10 06:58:55",375421.858465636,3362382.55176343,-88.2966718962021,30.3870004938439
"18832","A69-1604-28068-11924","A69-1604-28068","2023-06-10 07:01:55",375422.350014249,3362384.07119889,-88.2966669620552,30.3870142525986
"18833","A69-1604-28068-11924","A69-1604-28068","2023-06-10 07:04:55",375424.868675146,3362389.76941764,-88.2966414311202,30.3870659207169
"18834","A69-1604-28068-11950","A69-1604-28068","2023-06-18 03:12:31",375433.562039773,3362365.38300509,-88.2965480602811,30.3868468103249
"18835","A69-1604-28068-11950","A69-1604-28068","2023-06-18 03:15:31",375430.854471126,3362371.96639631,-88.2965770202529,30.3869059244362
"18836","A69-1604-28068-11950","A69-1604-28068","2023-06-18 03:18:31",375431.894576225,3362376.69860619,-88.2965667604429,30.3869487247232
"18837","A69-1604-28068-11950","A69-1604-28068","2023-06-18 03:21:31",375432.427909838,3362379.93242624,-88.2965615957067,30.3869779545546
"18838","A69-1604-28068-11950","A69-1604-28068","2023-06-18 03:24:31",375433.581234052,3362378.69777829,-88.29654944682,30.386966934982
"18839","A69-1604-28068-11950","A69-1604-28068","2023-06-18 03:27:31",375438.24403866,3362380.63557409,-88.296501155312,30.3869848989047
"18840","A69-1604-28068-12020","A69-1604-28068","2023-07-18 05:17:13",375421.668450422,3362373.17911569,-88.2966727568138,30.3869159164519
"18841","A69-1604-28068-12020","A69-1604-28068","2023-07-18 05:20:13",375425.274965898,3362375.23483614,-88.2966354714214,30.3869348351997
"18842","A69-1604-28068-12020","A69-1604-28068","2023-07-18 05:23:13",375428.053574326,3362379.83713901,-88.296607104836,30.386976643074
"18843","A69-1604-28068-12020","A69-1604-28068","2023-07-18 05:26:13",375425.551703844,3362381.65380296,-88.2966333564017,30.3869927741538
"18844","A69-1604-28068-12020","A69-1604-28068","2023-07-18 05:29:13",375424.096309866,3362378.37600681,-88.2966481110777,30.3869630523352
"18845","A69-1604-28068-12020","A69-1604-28068","2023-07-18 05:32:13",375419.97597542,3362373.00031444,-88.2966903478364,30.3869141285229
"18846","A69-1604-28068-12020","A69-1604-28068","2023-07-18 05:35:13",375418.192811579,3362366.7246014,-88.296708156134,30.386857326358
"18847","A69-1604-28068-12050","A69-1604-28068","2023-08-03 01:59:47",375457.963428065,3362389.97277342,-88.2962970623375,30.387071173385
"18848","A69-1604-28068-12050","A69-1604-28068","2023-08-03 02:02:47",375467.775201515,3362401.92669651,-88.2961963821164,30.3871800319995
"18849","A69-1604-28068-12050","A69-1604-28068","2023-08-03 02:05:47",375467.727072068,3362411.11189558,-88.2961979769777,30.3872628936894
"18850","A69-1604-28068-12050","A69-1604-28068","2023-08-03 02:08:47",375474.24604373,3362412.26929833,-88.296130276488,30.387274008627
"18851","A69-1604-28068-12050","A69-1604-28068","2023-08-03 02:11:47",375475.369894134,3362412.77741276,-88.2961186418846,30.387278708755
"18852","A69-1604-28068-12050","A69-1604-28068","2023-08-03 02:14:47",375461.325382861,3362403.25155364,-88.2962636585739,30.3871913185226
"18853","A69-1604-28068-12143","A69-1604-28068","2023-11-01 14:06:54",375467.103403503,3362362.21990274,-88.2961986437485,30.3868217374628
"18854","A69-1604-28068-12143","A69-1604-28068","2023-11-01 14:09:54",375454.025133356,3362343.27810727,-88.2963324831809,30.3866494986216
"18855","A69-1604-28068-12143","A69-1604-28068","2023-11-01 14:12:54",375442.542876066,3362343.36759089,-88.2964519808291,30.3866491201137
"18856","A69-1604-28068-12143","A69-1604-28068","2023-11-01 14:15:54",375423.202971298,3362345.43729015,-88.2966534828696,30.3866657949037
"18857","A69-1604-28068-12143","A69-1604-28068","2023-11-01 14:18:54",375429.571870514,3362342.88245826,-88.2965869022657,30.3866434036773
"18858","A69-1604-28068-12143","A69-1604-28068","2023-11-01 14:21:54",375441.046902601,3362348.22611268,-88.296468127057,30.3866927980275
"18859","A69-1604-28068-12148","A69-1604-28068","2023-11-01 20:03:43",375445.964111965,3362373.94251686,-88.2964200208832,30.3869253130786
"18860","A69-1604-28068-12148","A69-1604-28068","2023-11-01 20:06:43",375458.566518163,3362399.89861492,-88.2962919687254,30.3871607842199
